Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C3, C4, C5, C7, C8",SM_C_0805,7,100n,C49678
"C10, C9",SM_C_0805,2,22p,C1804
C2,SM_C_0805,1,22n,C1729
C6,SM_6.3x7.7,1,100u,C164071
"D1, D4",SOT23_ZENER,2,3V3_Zener, C493206
D2,SM0805_LED,1,LED0,C2296
D3,SOT23_ZENER,1,5V1_Zener,C131770
"R1, R10, R11, R5",SM0805,4,10k,C17414
"R2, R3",SM0805,2,4k7, C17673
R4,SM0805,1,470,C17710
"R6, R7",SM0805,2,4k7,C17673
R8,SM0805,1,470k,C17709
R9,SM0805,1,100k, C149504
SW1,SMD_SW_6x3_5,1,SWA,C412368
SW2,SMD_SW_6x3_5,1,RST,C412368
"U1, U2",SM_SOT-23-5,2,TSV911xxLx,C361052
U4,TQFP32-08,1,ATmega328P-AU,C14877
Y1,SM-crystal-HC49UP,1,8MHz_XTAL,C12674
